seed,id,a1 in f1,a1 in f2,a2 in f2,a1 in f4,a2 in f4,a1 in f5,a1 in f6,a2 in f6
247,1,-2.95648523549416e-5,1.4250488491426524e-4,-4.50813251522056e-8,-9.465858524107697e-5,0.07772714287889083,0.00546244662944796,-3.246883150997925e-4,1.6301433539709458
104,2,4.1568517431026967e-4,0.0011434301780541445,-1.9066518995343335e-7,-3.388360035111663e-4,0.9009588602986268,0.0060094020450250285,-0.0010535879912521055,8.115674246069911
719,3,2.047805483209514e-4,6.415227984050167e-4,-1.144240683818902e-7,-2.0519465237193088e-4,0.4895433029904623,0.0057498223953044315,-6.586657677308055e-4,4.769330301736665
721,4,3.6608544665208515e-4,8.931301471332659e-4,-1.380828139172786e-7,-1.516604957407673e-4,0.6182302205610145,0.005945887087021347,-6.891636668206825e-4,5.8287718404773825
665,5,4.290284034246824e-4,0.0011121826649027676,-1.7898266063267725e-7,-2.692287427566745e-4,0.8337750895678764,0.006024632804004585,-9.437743813782672e-4,7.5828106486202405
888,6,4.114995826289942e-4,0.0010467547982218686,-1.6643337395216553e-7,-2.788223104083194e-4,0.8242997602610422,0.006002660579710529,-8.812704823892812e-4,7.140742081642232
649,7,2.858461279680178e-4,8.923126925661878e-4,-1.5889090566702422e-7,-2.914301283323433e-4,0.6893141945406305,0.005850642030633854,-9.139067547314708e-4,6.62695256402202
161,8,4.685916425242509e-4,0.0012221770374211886,-1.9743523036913286e-7,-2.8879381782354274e-4,0.9043790435835706,0.006073608846186645,-0.0010425535493053045,8.346958484543876
281,9,5.62945207093606e-4,0.0012119125770383057,-1.7002588300507845e-7,-7.583169933648302e-5,0.762750908150832,0.00618532892919092,-7.288034541315372e-4,7.135100257743801
293,10,6.581304241108918e-4,0.0019219747206877355,-3.311202572861574e-7,-7.13587181925539e-4,1.6379409449506803,0.006311551040298798,-0.0019141377844229506,14.208175404872462
698,11,1.9796740925484267e-4,6.272102965185001e-4,-1.1245927655325959e-7,-2.1542073220437758e-4,0.4936186282609664,0.005741478018094745,-6.52623920186611e-4,4.698324524041883
680,12,2.5012928233378014e-4,8.60100260433857e-4,-1.5980904273781e-7,-4.1826279888482074e-4,0.7981138043945699,0.005807774891045613,-0.0010001782021253993,6.906195858691752
619,13,2.589351542018588e-4,7.382466353859564e-4,-1.2557697289116785e-7,-3.0042804897063667e-4,0.6679245710218459,0.005815998359229142,-7.442940300124402e-4,5.541434665838552
719,14,2.047805483209514e-4,6.415227984050167e-4,-1.144240683818902e-7,-2.0519465237193088e-4,0.4895433029904623,0.0057498223953044315,-6.586657677308055e-4,4.769330301736665
625,15,3.409609199259389e-4,0.0011508933270968338,-2.1219783779790718e-7,-5.188644051113908e-4,1.0267004660336525,0.005920921361038968,-0.0013047767572218747,9.090393260604602
263,16,2.864051473823879e-4,9.740098734555195e-4,-1.80148657888626e-7,-4.0389862691648625e-4,0.8242781250327486,0.005852852729099316,-0.0010890353903940328,7.597380535538511
434,17,2.3419839519101608e-4,7.697491592939147e-4,-1.4031135582117013e-7,-3.172349769114944e-4,0.658455716106729,0.005787159981120886,-8.505636027685311e-4,5.991789148742791
512,18,3.164841908733808e-4,0.0010907352214120658,-2.0284951329085979e-7,-5.261034546112318e-4,1.0061172927834978,0.005890792553671501,-0.0012684685227961942,8.754641560913141
529,19,5.88050365171057e-4,0.00157906290891637,-2.596398380303211e-7,-4.7626503506496354e-4,1.2708780325604798,0.006222031651670945,-0.0014310240329925628,11.152555207665278
848,20,6.104758092115399e-4,0.001632279234891054,-2.6770687981366055e-7,-4.714902007751181e-4,1.2919542776175432,0.0062496009459238324,-0.0014609920790633886,11.441955782265268
792,21,2.847965305493516e-4,8.368055389844155e-4,-1.4462332535136107e-7,-2.699027435422219e-4,0.6623554652726957,0.005848406651656027,-8.22721235757684e-4,6.117482864149731
350,22,5.477429681813032e-5,3.5947457898697456e-4,-7.98297987340547e-8,-2.1521971013442267e-4,0.3223945197851023,0.0055666321037535355,-5.4632170493751e-4,3.320212643369576
187,23,5.8790552203911264e-5,2.0508818944443144e-4,-3.832917663563833e-8,-6.512548271286454e-5,0.14796569383737615,0.005568523212498986,-2.2304137132545123e-4,1.5567262352008726
585,24,4.4046481247398935e-4,0.0011618303663866148,-1.889938091708565e-7,-3.392002728703207e-4,0.9309827044678143,0.006039182500719187,-0.0010323188474178984,8.13506480535373
870,25,4.150312256037365e-4,0.001126865566108562,-1.8649668365912387e-7,-3.416927199042847e-4,0.9035891417575761,0.00600831288272449,-0.001021428823697792,7.934427784340981
699,26,2.879375289771981e-4,6.607907242946659e-4,-9.768548728500676e-8,-7.602280921758279e-5,0.4345978630323834,0.005848839234513788,-4.509408511607653e-4,4.081267106221389
505,27,5.635986126729306e-4,0.00139457369917076,-2.1771090409222606e-7,-3.330319613024684e-4,1.0706488880408305,0.006189603435249043,-0.001136673985198643,9.391622236946727
525,28,3.919258026037423e-4,9.472396480782079e-4,-1.4548917448621047e-7,-1.6436958242691194e-4,0.6642613498719008,0.005977579314787224,-7.322771049207879e-4,6.209644875983007
463,29,4.765518398712155e-4,0.001388724447168496,-2.3898420813049565e-7,-5.003839472231098e-4,1.1665397595158657,0.006086185695415045,-0.0013711156394162058,10.205772301853992
905,30,7.183729823169903e-4,0.0016882749088722975,-2.5410897238938943e-7,-2.9555295009861326e-4,1.210708962648326,0.006378621230734163,-0.001239441744837426,10.814181414428695
837,31,5.25924046364412e-4,0.0013783571282060508,-2.2333278089962364e-7,-3.872352401716974e-4,1.0903854977857013,0.006144575230868794,-0.0012049485746474244,9.560644462050448
